year,selling_price,km_driven,fuel,seller_type,transmission,owner,Car_Company,Model_Name
2016,685000,60000,Diesel,Individual,Manual,First Owner,Maruti,Ciaz ZDi SHVS
2016,450000,115962,Diesel,Individual,Manual,Second Owner,Maruti,Ertiga SHVS ZDI
2017,800000,40000,Diesel,Individual,Manual,First Owner,Maruti,S-Cross Facelift
2006,52000,120000,Petrol,Individual,Manual,Third Owner,Maruti,Alto LX
2009,80000,90000,LPG,Individual,Manual,Second Owner,Maruti,Omni LPG CARGO BSIII W IMMOBILISER
2012,140000,70000,Petrol,Individual,Manual,Second Owner,Maruti,Alto LX
2012,285000,80000,Diesel,Individual,Manual,Second Owner,Maruti,SX4 Celebration Diesel
2008,125000,80000,Petrol,Individual,Manual,First Owner,Maruti,Alto LXi BSIII
2008,225000,60000,Petrol,Individual,Manual,Second Owner,Maruti,SX4 Zxi with Leather BSIII
2013,170000,70000,Petrol,Individual,Manual,First Owner,Maruti,800 Std
2018,200000,10000,Petrol,Individual,Manual,First Owner,Maruti,Omni MPI STD BSIV
2017,625000,52000,Petrol,Dealer,Manual,First Owner,Maruti,Baleno Alpha 1.2
2017,880000,64000,Diesel,Dealer,Manual,First Owner,Maruti,Ertiga SHVS ZDI
2002,65000,100000,Petrol,Individual,Manual,Second Owner,Maruti,800 AC
2017,685000,72000,Diesel,Dealer,Manual,First Owner,Maruti,Vitara Brezza LDi Option
2017,1000000,60000,Diesel,Individual,Manual,Second Owner,Maruti,Ertiga SHVS ZDI Plus
2017,450000,70000,Diesel,Individual,Manual,First Owner,Maruti,Swift ZDi BSIV
2014,600000,20000,Petrol,Individual,Manual,First Owner,Maruti,Ertiga VXI
2007,100000,195000,Petrol,Individual,Manual,First Owner,Maruti,Alto LXi
2010,120000,90000,Petrol,Individual,Manual,Second Owner,Maruti,Alto LXi
2011,160000,155000,Petrol,Individual,Manual,First Owner,Maruti,Wagon R LX BS IV
2010,100000,80000,Petrol,Individual,Manual,Second Owner,Maruti,Wagon R LXI Minor
2017,282000,20000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800 VXI
2013,350000,40000,Petrol,Individual,Manual,First Owner,Maruti,Ertiga VXI ABS
2013,110000,50000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800 LXI
2012,395000,49000,Petrol,Individual,Manual,Second Owner,Maruti,Swift Dzire 1.2 Vxi BSIV
2014,315000,41000,Petrol,Dealer,Manual,First Owner,Maruti,Wagon R VXI
2019,700000,16000,Petrol,Individual,Manual,First Owner,Maruti,Baleno Alpha
2015,500000,10000,Petrol,Individual,Manual,First Owner,Maruti,Baleno Sigma 1.2
2005,80000,40000,Petrol,Individual,Manual,Second Owner,Maruti,Wagon R LXI
2009,180000,46730,Petrol,Individual,Manual,First Owner,Maruti,A-Star Vxi
2002,60000,80000,Petrol,Individual,Manual,Second Owner,Maruti,Zen LXi BSII
2017,1000000,40000,Diesel,Individual,Manual,First Owner,Maruti,Ertiga SHVS ZDI Plus
2019,800000,30000,Diesel,Individual,Manual,First Owner,Maruti,Baleno Alpha 1.3
2018,800000,25000,Diesel,Individual,Manual,First Owner,Maruti,Swift Dzire VDI
2008,250000,120000,Diesel,Individual,Manual,Third Owner,Maruti,Swift Vdi BSIII
2006,80000,120000,Petrol,Individual,Manual,Third Owner,Maruti,Baleno Vxi
2014,300000,35000,Petrol,Individual,Manual,Second Owner,Maruti,Wagon R VXI BS IV
2015,490000,60000,Diesel,Individual,Manual,Second Owner,Maruti,Swift Dzire VDI
2017,720000,60000,Diesel,Individual,Manual,First Owner,Maruti,Ertiga SHVS VDI
2017,550000,38000,Petrol,Dealer,Manual,First Owner,Maruti,Swift ZXi BSIV
2013,335000,80000,Diesel,Dealer,Manual,First Owner,Maruti,Ritz VDi
2012,229999,75000,CNG,Dealer,Manual,First Owner,Maruti,Eeco 5 STR With AC Plus HTR CNG
2014,225000,43000,Petrol,Dealer,Manual,First Owner,Maruti,Estilo LXI
2007,250000,120000,Petrol,Individual,Manual,Second Owner,Maruti,Swift VXI with ABS
2014,470000,163000,Diesel,Individual,Manual,First Owner,Maruti,Swift VDI BSIV
2018,300000,25000,Petrol,Individual,Automatic,First Owner,Maruti,Alto K10 VXI AGS Optional
2011,145000,25000,Petrol,Individual,Manual,First Owner,Maruti,Alto LX
2007,100000,90000,Petrol,Individual,Manual,Second Owner,Maruti,SX4 Vxi BSIII
2014,400000,90000,Diesel,Individual,Manual,First Owner,Maruti,Swift Dzire VDI
2000,60000,40000,Petrol,Individual,Manual,Third Owner,Maruti,800 AC
2013,400000,110000,Diesel,Individual,Manual,First Owner,Maruti,Ertiga VDI
2017,400000,30000,Petrol,Individual,Manual,First Owner,Maruti,Swift VVT VXI
2010,175000,52047,Petrol,Individual,Manual,First Owner,Maruti,Zen Estilo VXI BSIV
2018,800000,50000,Diesel,Individual,Manual,First Owner,Maruti,Vitara Brezza ZDi
2011,250000,70000,Petrol,Individual,Manual,Second Owner,Maruti,Swift VXI BSIII
2019,600000,10000,Petrol,Individual,Manual,First Owner,Maruti,Swift VXI BSIV
2017,600000,90000,Diesel,Individual,Manual,First Owner,Maruti,Swift VDI BSIV
2016,130000,40000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800 LXI
2006,90000,62009,Petrol,Individual,Manual,Second Owner,Maruti,Wagon R LXI
2007,95000,80000,Petrol,Individual,Manual,First Owner,Maruti,Wagon R LXI Minor
2007,70000,180000,Petrol,Individual,Manual,Third Owner,Maruti,Alto LX
2007,105000,60000,Petrol,Individual,Manual,Second Owner,Maruti,800 AC
2004,80000,60000,Petrol,Individual,Manual,Third Owner,Maruti,Wagon R LXI
2016,300000,30000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800 VXI
2009,250000,70000,Petrol,Individual,Manual,First Owner,Maruti,Swift Glam
2012,215000,80000,Diesel,Individual,Manual,Third Owner,Maruti,Swift Dzire VDI
2011,150000,40000,Diesel,Individual,Manual,Second Owner,Maruti,Ritz VDi
2018,850000,10000,Diesel,Individual,Manual,First Owner,Maruti,Vitara Brezza ZDi Plus
2004,130000,46000,Petrol,Individual,Manual,First Owner,Maruti,Wagon R VXI
2018,250000,120000,Petrol,Individual,Manual,First Owner,Maruti,Omni E MPI STD BS IV
2006,65000,124439,Petrol,Individual,Manual,Second Owner,Maruti,Alto LX
2006,120000,77000,Petrol,Individual,Manual,Second Owner,Maruti,Zen VXI
2014,240000,90000,Diesel,Individual,Manual,First Owner,Maruti,Swift Dzire VDI
2012,320000,80000,Diesel,Individual,Manual,Second Owner,Maruti,Swift VDI
2018,310000,5000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800 LXI
2018,420000,24000,Petrol,Individual,Automatic,First Owner,Maruti,Wagon R AMT VXI
2016,550000,78000,Diesel,Individual,Manual,Third Owner,Maruti,Ertiga SHVS VDI
2001,43000,100000,Petrol,Individual,Manual,Second Owner,Maruti,800 AC BSII
2018,250000,20000,Petrol,Individual,Manual,First Owner,Maruti,Omni MPI STD BSIV
2018,940000,20000,Diesel,Individual,Manual,First Owner,Maruti,Vitara Brezza ZDi Plus
2015,625000,80000,Diesel,Individual,Manual,First Owner,Maruti,Swift Dzire ZDI
2005,110000,80000,Petrol,Individual,Manual,First Owner,Maruti,Swift 1.3 VXi
2009,140000,120000,Petrol,Individual,Manual,Second Owner,Maruti,Alto LX
2005,90000,65000,Petrol,Individual,Manual,Second Owner,Maruti,Wagon R LXI BSIII
2009,275000,100000,Diesel,Individual,Manual,Second Owner,Maruti,Swift Ldi BSIV
2015,275000,30000,Petrol,Individual,Manual,First Owner,Maruti,Alto K10 VXI Airbag
2012,352000,109000,Diesel,Individual,Manual,First Owner,Maruti,Swift VDI
2012,150000,90000,Petrol,Individual,Manual,First Owner,Maruti,Alto LX
2010,300000,110000,Diesel,Individual,Manual,Second Owner,Maruti,Swift Vdi BSIII
2015,500000,80000,Petrol,Individual,Manual,First Owner,Maruti,Ertiga BSIV ZXI
2010,310000,100000,Diesel,Individual,Manual,Third Owner,Maruti,Swift Vdi BSIII
2009,300000,217871,Diesel,Dealer,Manual,First Owner,Maruti,Swift Ldi BSIII
2013,280000,90000,Diesel,Individual,Manual,Third Owner,Maruti,Ritz LDi
2019,556000,24000,Petrol,Individual,Manual,First Owner,Maruti,Baleno Alpha 1.2
2013,365000,65000,Diesel,Dealer,Manual,First Owner,Maruti,Swift VDI
2007,225000,50000,Diesel,Dealer,Manual,First Owner,Maruti,Swift VDI
2011,135000,50000,Petrol,Individual,Manual,First Owner,Maruti,Alto LX
2007,140000,49000,Petrol,Dealer,Manual,First Owner,Maruti,Wagon R LXI Minor
2016,665000,560000,Diesel,Dealer,Manual,First Owner,Maruti,SX4 S Cross DDiS 320 Delta
2015,565000,65000,Diesel,Dealer,Manual,First Owner,Maruti,Ciaz VDi Option SHVS
2013,425000,61083,Diesel,Dealer,Manual,First Owner,Maruti,Swift Dzire VDI
2016,670000,7104,Petrol,Trustmark Dealer,Manual,First Owner,Maruti,Swift ZXI BSIV
2015,750000,45974,Diesel,Trustmark Dealer,Manual,First Owner,Maruti,S-Cross Zeta DDiS 200 SH
2016,450000,39415,Petrol,Trustmark Dealer,Automatic,Second Owner,Maruti,Celerio VXI AMT BSIV
2016,770000,64672,Diesel,Trustmark Dealer,Manual,First Owner,Maruti,Baleno Alpha 1.3
2012,225000,110000,Petrol,Individual,Manual,Second Owner,Maruti,SX4 Vxi BSIV
2016,670000,7104,Petrol,Trustmark Dealer,Manual,First Owner,Maruti,Swift ZXI BSIV
2015,625000,11918,Petrol,Trustmark Dealer,Manual,First Owner,Maruti,Ertiga VXI
2015,750000,45974,Diesel,Trustmark Dealer,Manual,First Owner,Maruti,S-Cross Zeta DDiS 200 SH
2017,600000,46507,Diesel,Trustmark Dealer,Manual,First Owner,Maruti,Swift Dzire VDI
2012,225000,110000,Petrol,Individual,Manual,Second Owner,Maruti,SX4 Vxi BSIV
2016,670000,7104,Petrol,Trustmark Dealer,Manual,First Owner,Maruti,Swift ZXI BSIV
2015,625000,11918,Petrol,Trustmark Dealer,Manual,First Owner,Maruti,Ertiga VXI
2015,750000,45974,Diesel,Trustmark Dealer,Manual,First Owner,Maruti,S-Cross Zeta DDiS 200 SH
2017,600000,46507,Diesel,Trustmark Dealer,Manual,First Owner,Maruti,Swift Dzire VDI
2012,225000,110000,Petrol,Individual,Manual,Second Owner,Maruti,SX4 Vxi BSIV
2016,670000,7104,Petrol,Trustmark Dealer,Manual,First Owner,Maruti,Swift ZXI BSIV
2015,625000,11918,Petrol,Trustmark Dealer,Manual,First Owner,Maruti,Ertiga VXI
2015,750000,45974,Diesel,Trustmark Dealer,Manual,First Owner,Maruti,S-Cross Zeta DDiS 200 SH
2017,600000,46507,Diesel,Trustmark Dealer,Manual,First Owner,Maruti,Swift Dzire VDI
2012,225000,110000,Petrol,Individual,Manual,Second Owner,Maruti,SX4 Vxi BSIV
2016,670000,7104,Petrol,Trustmark Dealer,Manual,First Owner,Maruti,Swift ZXI BSIV
2015,625000,11918,Petrol,Trustmark Dealer,Manual,First Owner,Maruti,Ertiga VXI
2015,750000,45974,Diesel,Trustmark Dealer,Manual,First Owner,Maruti,S-Cross Zeta DDiS 200 SH
2017,600000,46507,Diesel,Trustmark Dealer,Manual,First Owner,Maruti,Swift Dzire VDI
2014,114999,30000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800 LXI
1995,95000,100000,Petrol,Individual,Manual,Second Owner,Maruti,Gypsy E MG410W ST
2014,229999,11451,Petrol,Individual,Manual,First Owner,Maruti,Omni E MPI STD BS IV
2018,600000,60000,Diesel,Individual,Manual,First Owner,Maruti,Swift VDI
2019,380000,5000,Petrol,Individual,Manual,First Owner,Maruti,Eeco 5 Seater Standard BSIV
2006,80000,66508,Petrol,Individual,Manual,Second Owner,Maruti,Swift 1.3 VXi
2008,140000,90000,Petrol,Individual,Manual,Third Owner,Maruti,Zen Estilo LXI BSIII
2017,710000,8000,Petrol,Individual,Automatic,First Owner,Maruti,Swift Dzire AMT ZXI Plus BS IV
2016,270000,25000,Petrol,Individual,Manual,First Owner,Maruti,Alto K10 VXI
2009,110000,20000,Petrol,Individual,Manual,First Owner,Maruti,Alto LXi
2018,540000,17500,Petrol,Individual,Manual,First Owner,Maruti,Swift VXI
2019,925000,11000,Petrol,Individual,Manual,First Owner,Maruti,Ciaz Zeta BSIV
2011,135000,90000,Petrol,Individual,Manual,First Owner,Maruti,Alto K10 2010-2014 VXI
2012,180000,120000,Petrol,Individual,Manual,First Owner,Maruti,800 AC
2015,138000,120000,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,Alto K10 LXI
2015,190000,70000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800 VXI
2009,300000,15000,Petrol,Individual,Manual,First Owner,Maruti,Ritz LXI
2018,195000,5000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800 VXI
2018,183000,40000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800 VXI
2007,95000,80000,Petrol,Individual,Manual,First Owner,Maruti,Zen Estilo 1.1 VXI BSIII
2013,250000,38000,Petrol,Individual,Manual,First Owner,Maruti,Wagon R LX Minor
2013,250000,38000,Petrol,Individual,Manual,First Owner,Maruti,Wagon R LX Minor
2018,600000,18000,Petrol,Individual,Automatic,First Owner,Maruti,Swift AMT VXI
2011,114999,60000,Petrol,Individual,Manual,Third Owner,Maruti,Alto LX
2009,150000,53000,Petrol,Individual,Manual,First Owner,Maruti,Wagon R LXI Minor
2016,299000,50000,Diesel,Individual,Manual,Second Owner,Maruti,Ritz LDi
2017,415000,32670,Petrol,Dealer,Automatic,First Owner,Maruti,Celerio VXI AT
2013,525000,56228,CNG,Dealer,Manual,First Owner,Maruti,Ertiga VXI CNG
2016,699000,39503,Diesel,Dealer,Manual,First Owner,Maruti,Vitara Brezza VDi
2014,665000,59110,Diesel,Dealer,Manual,First Owner,Maruti,Ertiga ZDI
2014,299000,54565,Petrol,Dealer,Manual,First Owner,Maruti,Wagon R Stingray LXI
2019,500000,20000,Petrol,Individual,Manual,First Owner,Maruti,Swift VXI
2010,140000,30000,Petrol,Individual,Manual,First Owner,Maruti,Alto LXi
2013,325000,60000,Diesel,Individual,Manual,First Owner,Maruti,Swift VDI
2008,110000,90000,Petrol,Individual,Manual,Second Owner,Maruti,Alto LXi
2017,229999,40000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800 VXI
2012,225000,110000,Petrol,Individual,Manual,Second Owner,Maruti,SX4 Vxi BSIV
2006,165000,132000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800 LXI
2015,550000,69782,Petrol,Dealer,Manual,First Owner,Maruti,Ciaz VXi
2003,98000,54000,Petrol,Individual,Manual,First Owner,Maruti,800 Std
2015,490000,59385,Diesel,Dealer,Manual,First Owner,Maruti,Swift LDI BSIV
2013,330000,55425,Petrol,Dealer,Manual,First Owner,Maruti,Wagon R LXI BS IV
2017,750000,55545,Diesel,Dealer,Manual,First Owner,Maruti,Ciaz VDI SHVS
2019,470000,8000,Petrol,Individual,Manual,First Owner,Maruti,Swift LXI
2014,180000,56207,Petrol,Dealer,Manual,Second Owner,Maruti,Alto 800 LXI
2006,80000,70000,Petrol,Individual,Manual,First Owner,Maruti,Zen LXI
2019,300000,50000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800 LXI
2012,450000,46000,Diesel,Individual,Manual,First Owner,Maruti,Swift VDI
2018,550000,80000,Diesel,Individual,Manual,First Owner,Maruti,Swift Dzire LDI
2013,400000,35000,Petrol,Individual,Manual,First Owner,Maruti,SX4 Vxi BSIV
2017,450000,50000,Petrol,Individual,Automatic,First Owner,Maruti,Celerio VXI AT
2011,220000,90000,Diesel,Individual,Manual,Third Owner,Maruti,SX4 ZDI
2014,390000,60000,Diesel,Individual,Manual,Second Owner,Maruti,Swift Dzire VDI
2012,300000,100000,Petrol,Individual,Manual,Second Owner,Maruti,SX4 Vxi BSIV
2014,575000,90000,Diesel,Individual,Manual,Second Owner,Maruti,Swift VDI BSIV
2014,300000,75000,Petrol,Individual,Manual,First Owner,Maruti,Wagon R Stingray VXI
2017,500000,40000,Petrol,Individual,Automatic,First Owner,Maruti,Ciaz 1.4 AT Zeta
2015,475000,24600,Petrol,Dealer,Manual,First Owner,Maruti,Swift 1.3 VXI ABS
2011,260000,28481,Petrol,Dealer,Manual,First Owner,Maruti,Wagon R LXI
2009,180000,30375,Petrol,Dealer,Manual,First Owner,Maruti,Wagon R LXI
2017,611000,34400,Diesel,Dealer,Manual,First Owner,Maruti,Swift Dzire VDI
2014,300000,28942,Petrol,Dealer,Automatic,First Owner,Maruti,Wagon R AMT VXI
2014,500000,25000,Petrol,Individual,Manual,First Owner,Maruti,Ertiga VXI
2017,150000,50000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800 VXI
2012,480000,120000,Diesel,Individual,Manual,Fourth & Above Owner,Maruti,Ertiga ZDI
2017,370000,82000,Petrol,Individual,Automatic,First Owner,Maruti,Celerio ZXI Optional AMT BSIV
2012,170000,97000,CNG,Individual,Manual,Second Owner,Maruti,Alto 800 CNG LXI
2009,250000,60000,Petrol,Individual,Manual,Third Owner,Maruti,Swift Dzire VXi
2014,500000,35000,Petrol,Individual,Manual,First Owner,Maruti,Ertiga VXI
2015,400000,90000,Petrol,Individual,Manual,First Owner,Maruti,Swift Dzire VXI
2018,200000,10000,Petrol,Individual,Manual,First Owner,Maruti,Omni MPI STD BSIV
1999,85000,70000,Petrol,Individual,Manual,Second Owner,Maruti,Zen LXI
2018,615000,40000,Petrol,Individual,Manual,First Owner,Maruti,Swift Dzire VXI 1.2 BS IV
2012,400000,60000,Diesel,Individual,Manual,Second Owner,Maruti,SX4 ZDI Leather
2017,500000,9161,Petrol,Individual,Manual,First Owner,Maruti,Ignis 1.2 Alpha BSIV
2017,425000,90000,Diesel,Individual,Manual,First Owner,Maruti,Swift Dzire LDI
2007,100000,80000,Petrol,Individual,Manual,Third Owner,Maruti,Zen Estilo LXI BSIII
2014,390000,110000,Diesel,Individual,Manual,Second Owner,Maruti,Swift Dzire LDI
2017,160000,50000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800 LXI
2016,150000,60000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800 LXI
2011,285000,50000,Diesel,Individual,Manual,Second Owner,Maruti,Swift VDI
2012,155000,19077,Petrol,Individual,Manual,Second Owner,Maruti,Alto LX
2009,140000,80000,Petrol,Individual,Manual,Second Owner,Maruti,Alto LXi
2016,610000,100000,Diesel,Individual,Manual,First Owner,Maruti,Baleno Alpha 1.3
2010,222000,70000,Petrol,Individual,Manual,First Owner,Maruti,Wagon R LXI BS IV
2015,240000,50000,Petrol,Individual,Manual,Second Owner,Maruti,Alto 800 LXI
2012,225000,110000,Petrol,Individual,Manual,Second Owner,Maruti,SX4 Vxi BSIV
2016,670000,7104,Petrol,Trustmark Dealer,Manual,First Owner,Maruti,Swift ZXI BSIV
2015,625000,11918,Petrol,Trustmark Dealer,Manual,First Owner,Maruti,Ertiga VXI
2015,750000,45974,Diesel,Trustmark Dealer,Manual,First Owner,Maruti,S-Cross Zeta DDiS 200 SH
2017,600000,46507,Diesel,Trustmark Dealer,Manual,First Owner,Maruti,Swift Dzire VDI
2012,225000,110000,Petrol,Individual,Manual,Second Owner,Maruti,SX4 Vxi BSIV
2016,670000,7104,Petrol,Trustmark Dealer,Manual,First Owner,Maruti,Swift ZXI BSIV
2015,625000,11918,Petrol,Trustmark Dealer,Manual,First Owner,Maruti,Ertiga VXI
2015,750000,45974,Diesel,Trustmark Dealer,Manual,First Owner,Maruti,S-Cross Zeta DDiS 200 SH
2017,600000,46507,Diesel,Trustmark Dealer,Manual,First Owner,Maruti,Swift Dzire VDI
2017,425000,8352,Petrol,Dealer,Manual,First Owner,Maruti,Eeco 5 Seater AC BSIV
2017,525000,9745,Petrol,Dealer,Automatic,First Owner,Maruti,Wagon R VXI AMT1.2BSIV
2016,550000,54000,Diesel,Dealer,Manual,First Owner,Maruti,Swift DDiS LDI
2019,350000,5000,Petrol,Individual,Manual,First Owner,Maruti,Alto K10 VXI
2015,475000,60000,Diesel,Individual,Manual,First Owner,Maruti,Swift VDI BSIV
2018,500000,50000,Diesel,Individual,Manual,First Owner,Maruti,Swift Dzire VDI
2019,350000,5000,Petrol,Individual,Manual,First Owner,Maruti,Alto K10 VXI Airbag
2017,320000,30000,Petrol,Individual,Manual,First Owner,Maruti,Alto K10 VXI
2018,750000,50000,Diesel,Individual,Manual,First Owner,Maruti,Swift Dzire ZDI
2015,716000,100000,Diesel,Individual,Manual,First Owner,Maruti,Ertiga ZDI
2015,675000,66000,Petrol,Individual,Manual,First Owner,Maruti,Ciaz ZXi Plus
2014,210000,20000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800 LXI
2018,725000,26350,Diesel,Individual,Manual,First Owner,Maruti,Vitara Brezza VDi Option
2009,300000,15000,Petrol,Individual,Manual,First Owner,Maruti,Ritz LXI
2007,100000,52000,Petrol,Individual,Manual,Second Owner,Maruti,Alto LX
2018,380000,22155,Petrol,Individual,Manual,First Owner,Maruti,Alto K10 VXI
2018,650000,70000,Petrol,Individual,Manual,First Owner,Maruti,Ciaz 1.4 Delta
2009,150000,60000,Petrol,Individual,Manual,Second Owner,Maruti,Alto LX
2015,625000,11918,Petrol,Trustmark Dealer,Manual,First Owner,Maruti,Ertiga VXI
2017,585000,43608,Petrol,Trustmark Dealer,Manual,First Owner,Maruti,Baleno Delta 1.2
2018,825000,11212,Petrol,Trustmark Dealer,Automatic,First Owner,Maruti,Baleno Alpha CVT
2016,725000,49217,Petrol,Trustmark Dealer,Manual,First Owner,Maruti,Baleno Zeta
2011,375000,190000,Diesel,Individual,Manual,Third Owner,Maruti,Swift Dzire VDi
2018,270000,20000,Petrol,Individual,Manual,First Owner,Maruti,Eeco 7 Seater Standard BSIV
2012,555000,110000,Diesel,Individual,Manual,Second Owner,Maruti,Ertiga ZDI
2014,250000,50000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800 LXI Airbag
2011,175000,70000,Petrol,Individual,Manual,First Owner,Maruti,Swift LXI
2018,950000,15000,Diesel,Individual,Automatic,First Owner,Maruti,Vitara Brezza ZDi Plus AMT Dual Tone
2019,340000,50000,Petrol,Individual,Manual,First Owner,Maruti,Celerio LXI MT BSIV
2016,245000,60000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800 VXI
2008,140000,120000,Petrol,Individual,Manual,First Owner,Maruti,Zen Estilo Sports
2019,1100000,30000,Diesel,Individual,Manual,First Owner,Maruti,Ertiga ZDI Plus
2017,835000,14000,Diesel,Dealer,Manual,First Owner,Maruti,Baleno Alpha 1.3
2015,480000,50000,Diesel,Individual,Manual,First Owner,Maruti,Swift Dzire VDI
2016,120000,120000,Petrol,Individual,Manual,First Owner,Maruti,Omni MPI STD BSIV
