year,selling_price,km_driven,fuel,seller_type,transmission,owner,Car_Company,Model_Name
2018,465000,25000,Diesel,Individual,Manual,First Owner,Hyundai,Grand i10 1.2 CRDi Asta
2018,500000,32000,Petrol,Individual,Manual,First Owner,Hyundai,Grand i10 1.2 Kappa Asta
2019,800000,11240,Petrol,Individual,Manual,First Owner,Hyundai,Elite i20 Asta Option BSIV
2017,490000,66000,Diesel,Dealer,Manual,First Owner,Hyundai,Grand i10 CRDi Magna
2013,290000,49000,Petrol,Individual,Manual,First Owner,Hyundai,Santro Xing GL Plus
2017,680000,44000,Diesel,Dealer,Manual,First Owner,Hyundai,i20 1.4 Sportz
2009,180000,60000,Diesel,Individual,Manual,Second Owner,Hyundai,i20 1.4 Magna ABS
2006,130000,80000,Petrol,Individual,Manual,Third Owner,Hyundai,Getz GL
2018,650000,20000,Petrol,Individual,Manual,Second Owner,Hyundai,i20 1.2 Spotz
2009,300000,50000,Petrol,Individual,Manual,First Owner,Hyundai,i20 Asta (o)
2010,270000,110000,Petrol,Individual,Manual,Second Owner,Hyundai,i20 Asta
2013,550000,29000,Diesel,Individual,Manual,First Owner,Hyundai,Verna 1.6 SX CRDi (O)
2018,229999,30000,Petrol,Individual,Manual,First Owner,Hyundai,EON Magna Plus
2015,160000,70000,Petrol,Individual,Manual,First Owner,Hyundai,EON 1.0 Kappa Magna Plus
2009,250000,50000,Petrol,Individual,Manual,First Owner,Hyundai,i10 Era
2015,500000,25000,Petrol,Individual,Manual,First Owner,Hyundai,Verna 1.4 VTVT
2017,500000,50000,Petrol,Individual,Manual,First Owner,Hyundai,Grand i10 1.2 Kappa Asta
2013,345000,44000,Petrol,Dealer,Manual,First Owner,Hyundai,Grand i10 1.2 Kappa Sportz Option
2018,900000,24000,Diesel,Individual,Manual,First Owner,Hyundai,Verna CRDi 1.6 EX
2017,575000,20000,Petrol,Individual,Manual,Second Owner,Hyundai,i20 1.2 Spotz
2018,900000,25000,Diesel,Individual,Manual,First Owner,Hyundai,Verna CRDi 1.6 EX
2016,350000,25000,Petrol,Individual,Manual,First Owner,Hyundai,Grand i10 Sportz
2019,755000,8000,Diesel,Individual,Manual,First Owner,Hyundai,Grand i10 1.2 CRDi Asta
2015,350000,70000,Diesel,Individual,Manual,Second Owner,Hyundai,Xcent 1.1 CRDi Base
2010,130000,98000,CNG,Individual,Manual,Second Owner,Hyundai,Santro Xing GLS CNG
2012,200000,46000,Petrol,Individual,Manual,First Owner,Hyundai,EON Era Plus
2010,250000,40000,Petrol,Individual,Manual,First Owner,Hyundai,i20 Sportz Petrol
2019,600000,10000,Petrol,Individual,Manual,First Owner,Hyundai,Grand i10 1.2 Kappa Asta
2017,595000,33100,Petrol,Individual,Manual,Second Owner,Hyundai,i20 Active 1.2 S
2014,190000,40000,Petrol,Individual,Manual,Second Owner,Hyundai,EON Era Plus
1999,50000,120000,Petrol,Individual,Manual,Second Owner,Hyundai,Santro GLS I - Euro I
2019,350000,30000,Petrol,Individual,Manual,First Owner,Hyundai,Santro Era
2017,330000,80577,Petrol,Individual,Manual,First Owner,Hyundai,Verna 1.4 VTVT
2011,300000,127500,Diesel,Individual,Manual,Second Owner,Hyundai,Verna 1.6 CRDI
2015,235000,40903,Petrol,Dealer,Manual,First Owner,Hyundai,EON D Lite Plus
2015,400000,61690,Petrol,Dealer,Manual,First Owner,Hyundai,Grand i10 Sportz
2015,600000,64484,Petrol,Dealer,Manual,First Owner,Hyundai,i20 Asta 1.2
2016,600000,30000,Petrol,Individual,Manual,First Owner,Hyundai,i20 Active 1.2 SX
2019,500000,1250,Petrol,Individual,Manual,First Owner,Hyundai,Santro Magna BSIV
2008,195000,90000,Diesel,Individual,Manual,Second Owner,Hyundai,Verna CRDi
2013,200000,24005,Petrol,Individual,Manual,First Owner,Hyundai,EON Era Plus
2009,120000,120000,Petrol,Individual,Manual,Second Owner,Hyundai,i10 Era 1.1
2012,180000,90000,LPG,Individual,Manual,First Owner,Hyundai,EON LPG Magna Plus
2016,600000,61000,Petrol,Individual,Manual,First Owner,Hyundai,i20 Magna 1.2
2009,270000,27633,Petrol,Individual,Manual,First Owner,Hyundai,i10 Era 1.1
2012,250000,100000,LPG,Individual,Manual,First Owner,Hyundai,Santro Xing GLS Audio LPG
2015,850000,84000,Diesel,Dealer,Manual,First Owner,Hyundai,Creta 1.6 CRDi SX Plus
2013,484999,65000,Diesel,Dealer,Manual,First Owner,Hyundai,Verna 1.6 SX
2017,1650000,55000,Diesel,Dealer,Manual,First Owner,Hyundai,Tucson 2.0 e-VGT 2WD MT
2015,295000,21000,Petrol,Dealer,Manual,Second Owner,Hyundai,EON Era Plus
2018,1475000,11700,Petrol,Dealer,Automatic,First Owner,Hyundai,Creta 1.6 VTVT AT SX Plus
2017,1100000,10000,Petrol,Individual,Automatic,First Owner,Hyundai,Verna VTVT 1.6 AT SX Option
2015,760000,55340,Petrol,Trustmark Dealer,Manual,First Owner,Hyundai,Verna 1.6 VTVT SX
2015,1150000,54634,Diesel,Trustmark Dealer,Automatic,Second Owner,Hyundai,Creta 1.6 SX Automatic Diesel
2016,535000,52600,Diesel,Individual,Manual,First Owner,Hyundai,Creta 1.6 CRDi SX
2017,550000,19890,Petrol,Dealer,Automatic,First Owner,Hyundai,Grand i10 1.2 Kappa Magna AT
2017,520000,10510,Petrol,Dealer,Automatic,First Owner,Hyundai,Grand i10 Magna AT
2012,229999,49824,Petrol,Dealer,Manual,First Owner,Hyundai,i10 Magna
2005,80000,56580,Petrol,Dealer,Manual,First Owner,Hyundai,Santro GS
2015,760000,55340,Petrol,Trustmark Dealer,Manual,First Owner,Hyundai,Verna 1.6 VTVT SX
2016,535000,52600,Diesel,Individual,Manual,First Owner,Hyundai,Creta 1.6 CRDi SX
2017,550000,19890,Petrol,Dealer,Automatic,First Owner,Hyundai,Grand i10 1.2 Kappa Magna AT
2017,520000,10510,Petrol,Dealer,Automatic,First Owner,Hyundai,Grand i10 Magna AT
2012,229999,49824,Petrol,Dealer,Manual,First Owner,Hyundai,i10 Magna
2005,80000,56580,Petrol,Dealer,Manual,First Owner,Hyundai,Santro GS
2015,760000,55340,Petrol,Trustmark Dealer,Manual,First Owner,Hyundai,Verna 1.6 VTVT SX
2016,535000,52600,Diesel,Individual,Manual,First Owner,Hyundai,Creta 1.6 CRDi SX
2017,550000,19890,Petrol,Dealer,Automatic,First Owner,Hyundai,Grand i10 1.2 Kappa Magna AT
2017,520000,10510,Petrol,Dealer,Automatic,First Owner,Hyundai,Grand i10 Magna AT
2012,229999,49824,Petrol,Dealer,Manual,First Owner,Hyundai,i10 Magna
2005,80000,56580,Petrol,Dealer,Manual,First Owner,Hyundai,Santro GS
2015,760000,55340,Petrol,Trustmark Dealer,Manual,First Owner,Hyundai,Verna 1.6 VTVT SX
2016,535000,52600,Diesel,Individual,Manual,First Owner,Hyundai,Creta 1.6 CRDi SX
2017,550000,19890,Petrol,Dealer,Automatic,First Owner,Hyundai,Grand i10 1.2 Kappa Magna AT
2017,520000,10510,Petrol,Dealer,Automatic,First Owner,Hyundai,Grand i10 Magna AT
2012,229999,49824,Petrol,Dealer,Manual,First Owner,Hyundai,i10 Magna
2005,80000,56580,Petrol,Dealer,Manual,First Owner,Hyundai,Santro GS
2015,760000,55340,Petrol,Trustmark Dealer,Manual,First Owner,Hyundai,Verna 1.6 VTVT SX
2013,350000,50000,Petrol,Individual,Manual,Second Owner,Hyundai,i20 Sportz 1.2
2013,380000,50000,Petrol,Individual,Manual,Second Owner,Hyundai,i20 Sportz 1.2
2013,250000,88600,LPG,Individual,Manual,First Owner,Hyundai,i10 Magna LPG
2007,90000,80000,CNG,Individual,Manual,Third Owner,Hyundai,Santro Xing GL PLUS CNG
2001,55000,60000,Petrol,Individual,Manual,Third Owner,Hyundai,Santro GLS I - Euro I
2007,155000,100000,Diesel,Individual,Manual,Fourth & Above Owner,Hyundai,Verna CRDi
2013,495000,100000,Diesel,Individual,Manual,Second Owner,Hyundai,Verna 1.6 SX
2008,250000,110000,Diesel,Individual,Manual,Second Owner,Hyundai,Verna CRDi
2012,409999,60000,Diesel,Individual,Manual,Second Owner,Hyundai,Verna 1.6 SX CRDi (O)
2020,700000,1400,Diesel,Individual,Manual,First Owner,Hyundai,Grand i10 Nios Magna CRDi
2012,390000,86000,Diesel,Dealer,Manual,Second Owner,Hyundai,Verna 1.6 SX
2016,600000,30000,Diesel,Individual,Manual,First Owner,Hyundai,Xcent 1.1 CRDi SX Option
2011,250000,120000,Petrol,Individual,Manual,First Owner,Hyundai,i20 1.2 Sportz
2011,229999,60000,LPG,Individual,Manual,Second Owner,Hyundai,Santro Xing GL Plus LPG
2012,180000,100000,Petrol,Individual,Manual,Third Owner,Hyundai,Accent Executive
2017,475000,42000,Petrol,Individual,Manual,First Owner,Hyundai,Grand i10 1.2 Kappa Asta
2015,325000,100000,Diesel,Individual,Manual,First Owner,Hyundai,Grand i10 CRDi Sportz
2016,1199000,30093,Diesel,Dealer,Automatic,First Owner,Hyundai,Creta 1.6 CRDi AT SX Plus
2013,425000,59319,Petrol,Dealer,Manual,First Owner,Hyundai,Verna 1.6 SX VTVT
2013,325000,35299,Petrol,Dealer,Manual,First Owner,Hyundai,Grand i10 1.2 Kappa Sportz Dual Tone
2010,265000,47564,Petrol,Dealer,Manual,Second Owner,Hyundai,i20 Asta
2014,550000,50000,Diesel,Individual,Manual,First Owner,Hyundai,Verna 1.6 SX CRDi (O)
2010,210000,90000,Petrol,Individual,Manual,Third Owner,Hyundai,i20 Magna
2019,1200000,25000,Diesel,Individual,Manual,First Owner,Hyundai,Verna CRDi 1.6 SX Option
2018,325000,20629,Petrol,Dealer,Manual,First Owner,Hyundai,EON Era Plus
2015,400000,30000,Petrol,Individual,Automatic,First Owner,Hyundai,Grand i10 AT Asta
2015,525000,70378,Petrol,Dealer,Manual,First Owner,Hyundai,i20 2015-2017 Magna 1.2
2016,220000,43700,Petrol,Individual,Manual,First Owner,Hyundai,EON Magna Plus
2017,290000,20000,Petrol,Individual,Manual,First Owner,Hyundai,EON Era Plus
2008,150000,30000,Petrol,Individual,Manual,First Owner,Hyundai,i10 Sportz 1.2
2016,770000,10000,Petrol,Individual,Automatic,First Owner,Hyundai,Verna 1.6 VTVT AT S Option
2013,530000,89000,Petrol,Individual,Manual,Second Owner,Hyundai,Verna 1.6 SX VTVT (O)
2016,350000,12000,Petrol,Individual,Manual,First Owner,Hyundai,Xcent 1.2 Kappa SX
2018,1150000,26430,Diesel,Dealer,Manual,First Owner,Hyundai,Verna CRDi 1.6 SX Option
2012,225000,48000,Petrol,Dealer,Manual,First Owner,Hyundai,EON 1.0 Era Plus
2017,744000,106000,Diesel,Individual,Manual,First Owner,Hyundai,i20 1.4 Asta Option
2013,125000,205000,Petrol,Individual,Manual,First Owner,Hyundai,EON Magna Plus
2011,260000,125000,Diesel,Individual,Manual,Third Owner,Hyundai,Verna 1.6 CRDI
2015,350000,90000,Petrol,Individual,Manual,Second Owner,Hyundai,Grand i10 Sportz
2019,550000,25000,Petrol,Individual,Manual,First Owner,Hyundai,Grand i10 1.2 Kappa Sportz BSIV
2016,900000,80000,Diesel,Individual,Manual,First Owner,Hyundai,Creta 1.4 CRDi Base
2013,620000,70000,Diesel,Individual,Manual,Second Owner,Hyundai,Verna 1.6 SX CRDi (O)
2009,250000,72000,Diesel,Individual,Manual,Second Owner,Hyundai,i20 Asta 1.4 CRDi (Diesel)
2001,52000,50000,Petrol,Individual,Manual,Third Owner,Hyundai,Santro LP zipPlus
2011,450000,60000,Petrol,Individual,Automatic,Third Owner,Hyundai,Verna 1.6 SX VTVT AT
2010,110000,110000,Petrol,Individual,Manual,First Owner,Hyundai,Getz 1.3 GVS
2013,175000,80000,Petrol,Individual,Manual,First Owner,Hyundai,Santro Xing GL Plus
2009,160000,70000,CNG,Individual,Manual,Third Owner,Hyundai,Accent GLE CNG
2017,400000,50000,Petrol,Individual,Manual,First Owner,Hyundai,i20 1.2 Spotz
2008,150000,90000,Petrol,Individual,Manual,Third Owner,Hyundai,i10 Magna 1.1
2009,110000,120000,Petrol,Individual,Manual,First Owner,Hyundai,Santro Xing GLS
2017,400000,38000,Petrol,Individual,Manual,Second Owner,Hyundai,i20 1.2 Spotz
2009,140000,120000,Petrol,Individual,Manual,First Owner,Hyundai,Santro Xing GLS
2016,210000,30000,Petrol,Individual,Manual,First Owner,Hyundai,EON D Lite
2018,100000,21302,Petrol,Individual,Manual,First Owner,Hyundai,EON 1.0 Era Plus
2010,210000,60000,Petrol,Individual,Manual,Second Owner,Hyundai,i10 Sportz 1.2
2006,90000,120000,Petrol,Individual,Manual,Second Owner,Hyundai,Santro Xing XG eRLX Euro III
2016,535000,52600,Diesel,Individual,Manual,First Owner,Hyundai,Creta 1.6 CRDi SX
2017,550000,19890,Petrol,Dealer,Automatic,First Owner,Hyundai,Grand i10 1.2 Kappa Magna AT
2017,520000,10510,Petrol,Dealer,Automatic,First Owner,Hyundai,Grand i10 Magna AT
2012,229999,49824,Petrol,Dealer,Manual,First Owner,Hyundai,i10 Magna
2005,80000,56580,Petrol,Dealer,Manual,First Owner,Hyundai,Santro GS
2015,760000,55340,Petrol,Trustmark Dealer,Manual,First Owner,Hyundai,Verna 1.6 VTVT SX
2016,535000,52600,Diesel,Individual,Manual,First Owner,Hyundai,Creta 1.6 CRDi SX
2017,550000,19890,Petrol,Dealer,Automatic,First Owner,Hyundai,Grand i10 1.2 Kappa Magna AT
2017,520000,10510,Petrol,Dealer,Automatic,First Owner,Hyundai,Grand i10 Magna AT
2012,229999,49824,Petrol,Dealer,Manual,First Owner,Hyundai,i10 Magna
2005,80000,56580,Petrol,Dealer,Manual,First Owner,Hyundai,Santro GS
2015,760000,55340,Petrol,Trustmark Dealer,Manual,First Owner,Hyundai,Verna 1.6 VTVT SX
2017,550000,9748,Petrol,Dealer,Manual,First Owner,Hyundai,Grand i10 Asta
2018,1490000,20694,Diesel,Dealer,Manual,First Owner,Hyundai,Creta 1.6 CRDi SX Option
2015,490000,31080,Petrol,Dealer,Manual,First Owner,Hyundai,Grand i10 Asta Option
2014,260000,37605,Petrol,Dealer,Manual,First Owner,Hyundai,EON Era Plus
2014,455000,55850,Diesel,Dealer,Manual,First Owner,Hyundai,Xcent 1.1 CRDi SX Option
2013,330000,38000,Petrol,Dealer,Automatic,First Owner,Hyundai,i10 Sportz 1.2 AT
2007,110000,60000,Petrol,Individual,Manual,Fourth & Above Owner,Hyundai,Getz GLE
2005,100000,120000,Diesel,Individual,Manual,Second Owner,Hyundai,Accent CRDi
2005,95000,120000,Petrol,Individual,Manual,Second Owner,Hyundai,Santro Xing XG
2015,409999,58000,Diesel,Individual,Manual,First Owner,Hyundai,Grand i10 CRDi Sportz
2014,220000,42000,Petrol,Individual,Manual,First Owner,Hyundai,EON Magna Plus
2015,950000,60000,Diesel,Individual,Manual,First Owner,Hyundai,Creta 1.6 CRDi SX Option
2011,147000,110000,Petrol,Individual,Manual,Second Owner,Hyundai,i10 Era 1.1 iTech SE
2016,475000,25000,Petrol,Individual,Manual,First Owner,Hyundai,i20 Sportz Option 1.2
2014,250000,50000,Petrol,Individual,Manual,Second Owner,Hyundai,Santro Xing GLS
2012,160000,70000,Petrol,Individual,Manual,Third Owner,Hyundai,EON Era Plus
2001,68000,70000,Petrol,Individual,Manual,First Owner,Hyundai,Santro LE zipPlus
2017,500000,26500,Petrol,Individual,Manual,First Owner,Hyundai,Grand i10 1.2 Kappa Asta
2020,1050000,10000,Diesel,Individual,Manual,First Owner,Hyundai,Creta 1.4 EX Diesel
2016,600000,25000,Petrol,Individual,Manual,First Owner,Hyundai,i20 Magna 1.2
2017,900000,50000,Diesel,Individual,Manual,First Owner,Hyundai,Verna CRDi 1.6 SX
2019,550000,25000,Petrol,Individual,Manual,First Owner,Hyundai,Grand i10 1.2 Kappa Sportz BSIV
2013,300000,90000,Diesel,Individual,Manual,First Owner,Hyundai,i20 Asta 1.4 CRDi
2017,550000,19890,Petrol,Dealer,Automatic,First Owner,Hyundai,Grand i10 1.2 Kappa Magna AT
2017,520000,10510,Petrol,Dealer,Automatic,First Owner,Hyundai,Grand i10 Magna AT
2012,229999,49824,Petrol,Dealer,Manual,First Owner,Hyundai,i10 Magna
2013,280000,52000,Diesel,Dealer,Manual,First Owner,Hyundai,i20 1.4 Magna Executive
2015,375000,70000,Petrol,Individual,Manual,First Owner,Hyundai,Xcent 1.2 Kappa S
2017,280000,28838,Petrol,Individual,Manual,First Owner,Hyundai,EON 1.0 Era Plus
2017,540000,20000,Petrol,Individual,Manual,Second Owner,Hyundai,Grand i10 Asta Option
2005,114999,90000,Petrol,Dealer,Manual,Second Owner,Hyundai,Santro Xing XL eRLX Euro III
2017,480000,53261,Petrol,Dealer,Manual,First Owner,Hyundai,Grand i10 Magna
2015,250000,30000,Petrol,Individual,Manual,First Owner,Hyundai,EON Magna Plus
2018,1100000,30000,Diesel,Individual,Automatic,First Owner,Hyundai,Verna CRDi 1.6 AT SX Option
2016,500000,40000,Petrol,Individual,Manual,First Owner,Hyundai,i20 Asta 1.2
2009,150000,60000,Petrol,Individual,Manual,Third Owner,Hyundai,i10 Magna 1.2 iTech SE
2018,450000,6000,Petrol,Individual,Manual,First Owner,Hyundai,Grand i10 1.2 Kappa Sportz BSIV
2009,150000,68000,Petrol,Individual,Manual,Second Owner,Hyundai,Santro Xing XS
2015,400000,42000,Diesel,Individual,Manual,First Owner,Hyundai,Grand i10 CRDi Sportz
2006,160000,90000,Petrol,Individual,Automatic,Second Owner,Hyundai,Santro Xing XG AT
2012,409999,120000,Diesel,Individual,Manual,Third Owner,Hyundai,Verna 1.6 SX
2007,155000,65000,Petrol,Dealer,Manual,First Owner,Hyundai,Verna SX
2018,650000,37000,Diesel,Dealer,Manual,First Owner,Hyundai,i20 Active S Diesel
2016,550000,23000,Petrol,Dealer,Manual,First Owner,Hyundai,i20 Active SX Petrol
2012,240000,40000,Petrol,Dealer,Manual,First Owner,Hyundai,i10 Magna
2015,245000,32000,Petrol,Dealer,Manual,First Owner,Hyundai,EON Magna Plus
2013,229999,13500,Petrol,Individual,Manual,First Owner,Hyundai,EON D Lite Plus
2015,325000,25000,Petrol,Individual,Manual,Third Owner,Hyundai,Grand i10 Magna
2008,150000,70950,Diesel,Individual,Manual,Second Owner,Hyundai,Verna CRDi
2013,300000,90000,Diesel,Individual,Manual,First Owner,Hyundai,i20 Asta 1.4 CRDi
2015,375000,72000,Diesel,Individual,Manual,First Owner,Hyundai,Xcent 1.1 CRDi Base
2017,600000,10000,Petrol,Individual,Manual,First Owner,Hyundai,i20 Active 1.2 S
2009,270000,80000,Diesel,Individual,Manual,Second Owner,Hyundai,Verna CRDi
2017,375000,10000,Petrol,Individual,Manual,First Owner,Hyundai,Grand i10 Sportz
2017,375000,10000,Petrol,Individual,Manual,First Owner,Hyundai,i10 Sportz 1.1L
2014,341000,31491,Petrol,Individual,Manual,First Owner,Hyundai,Grand i10 Asta
2012,170000,50000,Petrol,Individual,Manual,Second Owner,Hyundai,Santro Xing GL Plus
2011,195000,80000,Petrol,Individual,Manual,Second Owner,Hyundai,i10 Magna 1.2 iTech SE
2012,190000,60000,Petrol,Individual,Manual,Second Owner,Hyundai,i10 Magna 1.2 iTech SE
2016,535000,55838,Petrol,Dealer,Manual,First Owner,Hyundai,i20 Active S Petrol
2013,425000,66000,Petrol,Individual,Manual,First Owner,Hyundai,Verna 1.6 SX VTVT (O)
2006,125000,120000,Diesel,Individual,Manual,Third Owner,Hyundai,Elantra CRDi (Leather Option)
2011,220000,70000,Diesel,Individual,Manual,First Owner,Hyundai,i20 1.4 CRDi Era
2007,150000,84000,Petrol,Individual,Manual,Second Owner,Hyundai,Verna XXi (Petrol)
2007,100000,50000,Petrol,Individual,Manual,First Owner,Hyundai,Santro Xing XK (Non-AC)
2015,310000,35925,Petrol,Dealer,Manual,First Owner,Hyundai,i10 Sportz 1.1L
2018,1200000,60000,Diesel,Individual,Manual,First Owner,Hyundai,Verna CRDi 1.6 SX Option
2016,850000,75000,Diesel,Individual,Manual,First Owner,Hyundai,Verna 1.6 CRDI SX Option
2006,85000,100000,Petrol,Individual,Automatic,Third Owner,Hyundai,Santro Xing XL AT eRLX Euro III
2017,486000,26500,Petrol,Individual,Manual,First Owner,Hyundai,Grand i10 1.2 Kappa Magna BSIV
2016,580000,57000,Diesel,Individual,Manual,First Owner,Hyundai,i20 Asta Option 1.4 CRDi
2012,450000,110000,Diesel,Individual,Manual,Second Owner,Hyundai,Verna 1.6 SX CRDi (O)
2012,550000,80000,Diesel,Individual,Manual,Second Owner,Hyundai,Verna 1.6 SX CRDi (O)
2019,660000,7000,Petrol,Individual,Manual,Second Owner,Hyundai,Xcent 1.2 VTVT S
2013,200000,120000,Petrol,Individual,Manual,First Owner,Hyundai,EON Era Plus
2019,720000,3000,Petrol,Individual,Automatic,First Owner,Hyundai,Elite i20 Asta Option CVT BSIV
2017,570000,35000,Petrol,Individual,Manual,First Owner,Hyundai,i20 Active 1.2 S
2018,800000,52000,Diesel,Individual,Manual,First Owner,Hyundai,Creta 1.4 E Plus
2015,350000,61658,Diesel,Dealer,Manual,First Owner,Hyundai,Grand i10 1.2 CRDi Magna
2019,650000,20000,Petrol,Individual,Automatic,First Owner,Hyundai,Grand i10 1.2 Kappa Magna AT
2016,430000,35000,Diesel,Individual,Manual,First Owner,Hyundai,Xcent 1.1 CRDi SX
2017,650000,23000,Petrol,Individual,Manual,First Owner,Hyundai,Verna 1.6 SX VTVT
2010,120000,67000,Petrol,Individual,Manual,Third Owner,Hyundai,Accent Executive
2011,235000,74500,Petrol,Individual,Manual,Second Owner,Hyundai,i10 Magna 1.2 iTech SE
2011,300000,118700,Diesel,Individual,Manual,Second Owner,Hyundai,i20 1.4 CRDi Asta
2020,600000,5000,Petrol,Individual,Manual,First Owner,Hyundai,Grand i10 Nios Sportz
2020,640000,4000,Petrol,Individual,Automatic,First Owner,Hyundai,Grand i10 Nios AMT Magna
2015,600000,35000,Petrol,Individual,Manual,First Owner,Hyundai,Verna 1.6 VTVT S
2014,290000,29000,LPG,Individual,Manual,First Owner,Hyundai,i10 Magna LPG
2015,600000,30000,Petrol,Individual,Manual,First Owner,Hyundai,Verna 1.6 VTVT S
2008,160000,110000,Petrol,Individual,Manual,Third Owner,Hyundai,i10 Era 1.1
2008,155000,60000,Petrol,Individual,Manual,Fourth & Above Owner,Hyundai,i10 Magna 1.1
2015,550000,90000,Diesel,Individual,Manual,First Owner,Hyundai,i20 Asta 1.4 CRDi
2018,950000,41395,Petrol,Individual,Automatic,First Owner,Hyundai,Verna VTVT 1.6 AT SX Option
2015,700000,48000,Petrol,Dealer,Manual,First Owner,Hyundai,Elantra SX
2012,575000,89550,Diesel,Individual,Manual,Second Owner,Hyundai,Verna 1.6 SX CRDi (O)
2006,100000,40000,Petrol,Individual,Manual,Second Owner,Hyundai,Santro Xing XL eRLX Euro III
2012,450000,120000,Diesel,Individual,Manual,Second Owner,Hyundai,i20 1.4 CRDi Sportz
2017,500000,50000,Petrol,Individual,Manual,First Owner,Hyundai,Grand i10 1.2 Kappa Asta
